Player_ID,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS
201976.0,2.16,5.19,0.38,0.84,2.48,0.28,1.01,1.23,0.41,0.67,2.6,3.27,2.9,0.59,0.42,0.89,1.75,6.18,-0.79
1630180.0,4.6,11.06,0.42,1.79,5.68,0.31,2.7,3.22,0.68,2.65,3.87,6.52,1.46,0.81,0.17,0.86,1.4,13.7,-0.3
1629048.0,2.03,3.37,0.48,0.03,0.23,0.03,0.92,1.4,0.35,1.76,2.85,4.61,1.27,0.52,1.16,0.71,1.73,5.02,0.4
1641931.0,1.39,3.65,0.32,0.52,1.91,0.18,0.17,0.22,0.11,0.26,1.13,1.39,0.57,0.13,0.09,0.43,1.04,3.48,-1.96
202687.0,1.85,3.28,0.46,0.0,0.0,0.0,0.65,1.35,0.16,1.55,3.68,5.22,1.32,0.28,0.92,1.05,2.22,4.35,-1.68
1641710.0,1.67,3.58,0.38,0.54,1.36,0.21,0.71,1.16,0.28,0.48,1.54,2.01,1.32,0.51,0.3,0.81,1.59,4.58,-0.51
1641778.0,0.96,2.0,0.38,0.35,0.77,0.21,0.38,0.58,0.18,0.35,1.5,1.85,0.92,0.31,0.42,0.23,0.73,2.65,-1.04
203992.0,5.96,13.92,0.43,3.04,8.11,0.39,1.91,2.08,0.63,0.67,2.77,3.44,3.13,1.22,0.33,1.42,2.27,16.87,1.61
202711.0,5.42,11.95,0.43,2.33,5.86,0.38,2.05,2.61,0.53,0.39,2.28,2.67,1.7,0.53,0.09,1.77,1.67,15.23,-6.05
1629626.0,2.16,3.51,0.48,0.51,1.21,0.23,0.35,0.44,0.18,0.74,2.44,3.19,0.4,0.23,0.58,0.44,0.98,5.19,0.28
1629716.0,1.55,2.27,0.43,0.0,0.09,0.0,0.27,0.36,0.14,0.91,2.18,3.09,0.36,0.27,0.64,0.27,0.91,3.36,-1.45
1626164.0,9.44,19.19,0.48,2.24,6.15,0.35,5.96,6.72,0.86,0.82,3.71,4.53,6.94,0.9,0.41,2.62,3.03,27.07,4.65
1630527.0,2.03,5.03,0.37,0.44,1.62,0.16,0.72,1.03,0.26,0.59,1.03,1.62,0.41,0.34,0.25,0.75,1.25,5.22,-3.47
1628449.0,2.2,4.34,0.48,0.62,1.88,0.26,1.42,1.84,0.53,1.24,2.9,4.14,0.46,0.28,0.48,0.56,1.36,6.44,0.56
1630547.0,1.29,2.93,0.37,0.93,2.14,0.38,0.07,0.14,0.04,0.07,0.57,0.64,0.43,0.07,0.07,0.14,0.21,3.57,-0.79
1631103.0,3.61,8.37,0.41,1.24,3.57,0.3,0.73,0.84,0.36,0.37,1.6,1.97,2.08,0.36,0.11,1.21,1.25,9.2,-4.97
1631128.0,2.71,5.89,0.43,0.77,2.0,0.31,1.13,1.63,0.39,0.96,2.77,3.73,1.61,0.51,0.43,0.67,1.67,7.32,-0.18
1628969.0,6.88,15.78,0.43,2.68,7.22,0.37,3.15,3.87,0.66,0.83,3.71,4.54,3.65,0.99,0.37,2.0,1.41,19.59,-2.22
1628970.0,8.1,17.54,0.46,2.28,6.52,0.36,2.52,3.06,0.7,1.03,6.29,7.32,3.35,0.94,0.48,2.0,1.71,21.0,-9.17
1629052.0,1.24,2.78,0.33,0.27,1.0,0.17,0.91,1.51,0.33,1.11,1.8,2.91,0.8,0.35,0.15,0.36,0.98,3.65,2.07
1627763.0,5.59,12.72,0.43,2.1,5.1,0.38,2.44,2.97,0.61,0.72,3.08,3.79,5.49,0.69,0.21,1.54,1.49,15.72,-2.1
1629717.0,1.5,4.6,0.28,1.1,3.2,0.17,0.1,0.2,0.05,0.7,1.1,1.8,0.5,0.1,0.1,0.3,0.3,4.2,2.8
1628415.0,4.57,10.67,0.42,1.85,5.14,0.37,1.72,2.04,0.53,0.74,2.68,3.42,1.65,0.89,0.14,1.22,3.35,12.71,-0.31
1628971.0,4.15,8.69,0.46,0.79,2.45,0.27,1.75,2.12,0.54,0.79,3.45,4.24,2.87,0.88,0.25,1.28,2.21,10.84,-3.45
